%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1509030516108275829,23692,1509030516107998349,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21731394495,0.0159789665405,-0.411192072308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19750976562,-0.955612792969,8.97413818359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516117938640,23693,1509030516117631853,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.259924522392,-0.0490021640575,-0.432497361029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19271972656,-0.943637695313,8.99329833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516128530114,23694,1509030516128264540,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.320644595246,-0.0852211548825,-0.452737385313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10889404297,-0.893342285156,9.08430908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516146474928,23695,1509030516146133730,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.338754090658,-0.06711165947,-0.468716351854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993933105469,-0.838256835938,9.23280029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516151277431,23696,1509030516151014064,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.283360339984,0.00958737992429,-0.492152169447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931662597656,-0.78556640625,9.36452636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516157296595,23697,1509030516157096742,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.162985458713,0.0862864193186,-0.511326929295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946032714844,-0.737666015625,9.45074707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516167924421,23698,1509030516167763154,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0777643038303,0.13954964112,-0.478303731778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953217773438,-0.706530761719,9.43398193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516177499351,23699,1509030516177341969,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0639158661619,0.108656972475,-0.434627889901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917292480469,-0.699345703125,9.38129150391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516186452757,23700,1509030516186240588,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0607200728538,0.0276968753368,-0.395213105768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859812011719,-0.7280859375,9.26633056641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516198052579,23701,1509030516197816987,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140614905556,-0.0649811305979,-0.327036181862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787961425781,-0.742456054688,9.15376464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
